time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
1630,230.01,-1709.83,264192,161,129,8424.6611328125,0.012744140625,-0.23201491003856062,1280,0.33550941944122314,-0.0023727437623165316,0.001404072,0.0003,0.2,18197.666891479494
1649,227.88,-1669.99,266240,161,130,9779.201171875,0.01103515625,-0.23143782429397106,1290,0.3137378692626953,-0.0016612835504929535,0.0010006893,0.0003,0.2,19757.266916656496
1668,224.47,-1605.81,268288,160,131,6080.73193359375,0.0056640625,-0.2189381041098386,1300,0.3179529905319214,-0.0006263487921387423,0.00071905914,0.0003,0.2,17892.56260948181
1700,222.12,-1566.33,270336,158,132,8909.822265625,0.01123046875,-0.22695331843569874,1310,0.27485448122024536,-0.0012624613955267705,0.0011924282,0.0003,0.2,20379.180867385865
1721,220.3,-1541.34,272384,158,133,9149.7451171875,0.003076171875,-0.23009301498532295,1320,0.31600773334503174,-0.0010968856062390842,0.0005168809,0.0003,0.2,17795.1799118042
1739,219.93,-1535.17,274432,157,134,15307.0751953125,0.0126953125,-0.233304630080238,1330,0.3252285122871399,-0.0016491020629473495,0.0013177972,0.0003,0.2,16711.22420730591
1760,219.67,-1528.94,276480,157,135,3234.57373046875,0.025439453125,-0.2187499545281753,1340,0.33020442724227905,-0.0038726111495634543,0.0012806595,0.0003,0.2,17685.293939208983
1781,219.15,-1518.0,278528,156,136,7460.17041015625,0.011181640625,-0.24309185841120778,1350,0.3101798892021179,-0.00111455380138068,0.0009322355,0.0003,0.2,18175.108780670165
1803,218.97,-1511.95,280576,155,137,7724.4384765625,0.00087890625,-0.22380380367394537,1360,0.2930073142051697,-0.0009393880958668887,0.00054932386,0.0003,0.2,20221.40186691284
1827,217.47,-1482.18,282624,154,138,12156.8154296875,0.005810546875,-0.22147834985516965,1370,0.301011323928833,-0.0007212306776636978,0.0009931021,0.0003,0.2,18308.21430206299
1845,217.23,-1481.06,284672,154,139,11058.8291015625,0.001123046875,-0.22395636334549635,1380,0.291559100151062,-0.0009800333325983956,0.00042215185,0.0003,0.2,18665.479737854002
1869,215.92,-1457.48,286720,153,140,6963.7509765625,0.0060546875,-0.20773422587662935,1390,0.37115925550460815,-0.0016554815039853566,0.0014989905,0.0003,0.2,14365.16483001709
1890,215.39,-1452.28,288768,152,141,4257.9853515625,0.000732421875,-0.20089392703957856,1400,0.46936357021331787,-0.0004000456334324554,0.00082199223,0.0003,0.2,10294.540099716187
1908,215.39,-1449.41,290816,152,142,3114.978515625,0.0005859375,-0.19301995986606926,1410,0.7222574353218079,-0.000591056831581227,0.00053258764,0.0003,0.2,6762.816321182251
1934,214.31,-1424.15,292864,151,143,868.0439453125,0.0,-0.1805536867585033,1420,0.7971411943435669,-0.0001480305814766325,0.000101031015,0.0003,0.2,4247.188518333435
1959,213.31,-1406.27,294912,150,144,1434.7396240234375,4.8828125e-05,-0.18189556011930108,1430,0.8693000078201294,-0.0004350399125542026,0.00026785006,0.0003,0.2,3335.5505361557007
1996,211.83,-1376.0,296960,148,145,575.684326171875,0.000390625,-0.18114763826597483,1440,0.8779922723770142,-0.0006450874920119531,0.00035425724,0.0003,0.2,2744.1718620300294
2025,211.54,-1372.3,299008,147,146,463.6570739746094,0.0,-0.1850824105553329,1450,0.9122191071510315,-0.000594773018383421,0.00018255174,0.0003,0.2,2207.899026107788
2050,211.2,-1370.4,301056,146,147,787.328369140625,0.006884765625,-0.17648290602955968,1460,0.926063060760498,-0.0010022074064181651,0.001285539,0.0003,0.2,1879.7886883735657
2083,211.09,-1368.73,303104,145,148,1026.7591552734375,0.000244140625,-0.16930178017355502,1470,0.9355311393737793,-0.0005382458497479092,0.0005711176,0.0003,0.2,1698.9520498275756
2128,210.18,-1352.29,305152,143,149,316.0453796386719,0.004443359375,-0.1692504271864891,1480,0.9388394951820374,-0.0002687788102775812,0.000735042,0.0003,0.2,1544.0552498817444
2154,210.37,-1355.91,307200,142,150,1044.110107421875,0.00234375,-0.1700289672706276,1490,0.9321449995040894,-0.0005354223547328729,0.0009550783,0.0003,0.2,1917.0882118225097
2204,210.43,-1354.94,309248,140,151,860.6080322265625,0.0,-0.154164242814295,1500,0.9411587715148926,-0.00018015595342149026,0.00020560331,0.0003,0.2,1398.8431914329528
