rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction
-73.382,116.93,360448,18,88,19951,0.3,870,0.7838378548622131,341.2765197753906,0.002094644,-0.00018528359141782856,0.00025,-0.3290460892021656,646.7037725448608,0.0
-74.75,117.65,364544,17,89,20575,0.3,880,0.8061284422874451,256.7734069824219,0.0045993496,-0.00013169649610063062,0.00025,-0.33678921665996314,521.626329612732,0.0001220703125
-80.2,117.85,368640,17,90,21234,0.3,890,0.8261502981185913,211.24830627441406,0.008290884,-0.0014611891427193768,0.00025,-0.33388782292604446,465.6727823257446,0.0017333984375
-71.39,119.63,372736,17,91,21866,0.3,900,0.8261444568634033,285.43084716796875,0.0014635217,-0.001817951250995975,0.00025,-0.32704343516379597,540.4599172592164,0.00498046875
-66.812,120.52,376832,16,92,22504,0.3,910,0.7642048001289368,300.92510986328125,0.0017036821,-0.000981345961918123,0.00025,-0.3077854749746621,656.3820285797119,0.0
-67.001,120.09,380928,16,93,23166,0.3,920,0.8212926983833313,255.96315002441406,0.0022229394,-0.00035826385428663345,0.00025,-0.30891156904399397,614.0948501586914,0.0015625
-64.05199999999999,120.33,385024,16,94,23801,0.3,930,0.7480770349502563,324.1626281738281,0.0015934788,-7.069254643283784e-05,0.00025,-0.3206163639202714,742.5769111633301,0.0
-73.74700000000001,118.86,389120,15,95,24491,0.3,940,0.7257090210914612,428.0638122558594,0.00021971989,-0.0003892623797582928,0.00025,-0.3136607546359301,832.4627182006836,0.0
-62.49099999999999,117.88,393216,15,96,25175,0.3,950,0.8067613840103149,216.34442138671875,0.0033575967,-0.00019128594431094825,0.00025,-0.3256191171705723,489.84132823944094,0.0005615234375
-61.406000000000006,115.93,397312,15,97,25864,0.3,960,0.8183218240737915,216.9718475341797,0.0075948825,-0.0019889450835762546,0.00025,-0.3413062494248152,475.13801155090334,0.01171875
-52.11599999999999,116.78,401408,15,98,26569,0.3,970,0.7927162647247314,292.530029296875,0.0063615716,-0.0011469939556263853,0.00025,-0.3187829624861479,605.0109798431397,0.0
-56.446999999999996,116.99,405504,14,99,27276,0.3,980,0.7681454420089722,374.5185241699219,7.57494e-05,-0.00012737751821987331,0.00025,-0.328282904624939,700.772811126709,0.0
-54.175,117.34,409600,14,100,27995,0.3,990,0.7838435769081116,337.120361328125,0.0059220134,-0.0009594587158062495,0.00025,-0.34263421706855296,665.83413772583,0.0021484375
-54.451,115.64,413696,14,101,28729,0.3,1000,0.7425001859664917,362.10333251953125,0.00036622395,-0.00024881370482034983,0.00025,-0.32753917314112185,826.6803844451904,0.0
-59.150999999999996,115.17,417792,14,102,29451,0.3,1010,0.7726757526397705,398.5509338378906,0.0015474341,-0.0005290377914207057,0.00025,-0.32409188635647296,786.5227363586425,0.0
-65.325,113.76,421888,13,103,30222,0.3,1020,0.8117846250534058,176.72674560546875,0.0066705644,-0.0016405442598625085,0.00025,-0.33347859866917134,410.1368459701538,0.00595703125
-68.932,112.64,425984,13,104,31000,0.3,1030,0.7923024296760559,251.5026092529297,0.00128475,-0.0004920229475828819,0.00025,-0.3188752571120858,548.2604873657226,0.0
-65.80099999999999,110.04,430080,13,105,31803,0.3,1040,0.7844394445419312,256.7185974121094,0.010877049,-0.0020687674317741767,0.00025,-0.31810805667191744,548.2401405334473,0.012890625
-63.708,107.29,434176,13,106,32489,0.3,1050,0.733201801776886,313.9400634765625,0.007843167,-0.0033285055935266426,0.00025,-0.28910838784649967,869.4992328643799,0.0135498046875
-64.875,104.79,438272,13,107,32841,0.3,1060,0.7911069393157959,336.0790100097656,0.0071042636,-0.0019933346746256577,0.00025,-0.24824550906196236,634.6248874664307,0.002685546875
-60.50899999999999,106.13,442368,13,108,33181,0.3,1070,0.7976768612861633,346.0798034667969,0.0045200987,-0.0018037158297374845,0.00025,-0.25280641643330454,647.7684440612793,0.018310546875
-59.885999999999996,106.86,446464,13,109,33533,0.3,1080,0.7513090372085571,269.7859802246094,0.0036921236,-0.0007338767580222338,0.00025,-0.2807346931658685,689.8576366424561,0.0063720703125
-59.056000000000004,107.2,450560,13,110,33883,0.3,1090,0.7532944679260254,372.0895690917969,0.004226266,-0.0009525818553811405,0.00025,-0.2989598772488534,867.280857849121,0.0001708984375
-59.082,108.71,454656,13,111,34226,0.3,1100,0.7735812067985535,386.6824035644531,0.004909099,-0.0008780877789831721,0.00025,-0.32743846233934165,902.0541465759277,0.0
-62.565,110.4,458752,13,112,34571,0.3,1110,0.7827123403549194,321.79559326171875,0.0017438505,-0.00031843801989452916,0.00025,-0.3438732486218214,732.6706218719482,0.0
-62.086000000000006,112.76,462848,13,113,34918,0.3,1120,0.8246711492538452,266.00323486328125,0.0009653799,-0.0005089741127449088,0.00025,-0.34099810682237147,591.9691827774047,0.0
-61.13,111.64,466944,13,114,35287,0.3,1130,0.8380255699157715,239.9318389892578,0.0013304548,-0.0003083283583691809,0.00025,-0.3428062696009874,535.7794818878174,0.0
-64.76,110.92,471040,13,115,35651,0.3,1140,0.79461669921875,319.7515563964844,0.0045670327,-0.001109168803668581,0.00025,-0.34484730940312147,687.7824256896972,0.00205078125
-65.80799999999999,108.44,475136,13,116,36025,0.3,1150,0.7873448133468628,334.20684814453125,0.010230196,-0.002976884614326991,0.00025,-0.34541542939841746,737.9268939971923,0.0139404296875
-59.941,108.48,479232,13,117,36395,0.3,1160,0.7857050895690918,286.0924072265625,0.00169178,-0.0007956384870340116,0.00025,-0.32666783351451156,611.9967725753784,0.0
-66.784,108.12,483328,13,118,36758,0.3,1170,0.8017948865890503,307.8632507324219,0.005901975,-0.0023416446594637817,0.00025,-0.3427292866632342,571.2829730987548,0.01904296875
-69.921,108.9,487424,13,119,37132,0.3,1180,0.75342857837677,395.18780517578125,0.0014841927,-0.0005702350696083158,0.00025,-0.3558059152215719,742.9037378311157,0.0
-74.25399999999999,107.28,491520,13,120,37520,0.3,1190,0.7692379951477051,397.1640319824219,0.0074351244,-0.003707344135909807,0.00025,-0.3098987450823188,704.9976104736328,0.0115478515625
-64.67599999999999,107.2,495616,13,121,37892,0.3,1200,0.7833462953567505,280.8630676269531,0.0041786255,-0.0016430344112450257,0.00025,-0.30544196274131535,634.1427373886108,0.0123779296875
-57.451,108.5,499712,13,122,38275,0.3,1210,0.7722208499908447,253.89341735839844,0.0062870104,-0.001979786313313525,0.00025,-0.33733587032184004,597.6601903915405,0.0163330078125
-53.39900000000001,110.38,503808,13,123,38652,0.3,1220,0.8076925873756409,277.1763000488281,0.0037568205,-0.0015446487683220766,0.00025,-0.35464108623564244,544.0769861221313,0.0049560546875
-59.369,110.98,507904,13,124,39024,0.3,1230,0.8111909627914429,284.2175598144531,0.0015920026,-0.0005241984683379997,0.00025,-0.35985448863357306,552.8880628585815,0.0
-56.654,112.64,512000,12,125,39395,0.3,1240,0.7824164032936096,282.8209533691406,0.0026644822,-0.0018374501858488656,0.00025,-0.3479564920067787,658.0793212890625,0.0021484375
-60.245999999999995,113.2,516096,12,126,39780,0.3,1250,0.8016525506973267,306.2520751953125,0.007245181,-0.002092456637183204,0.00025,-0.3316605916246772,667.6266298294067,0.013525390625
-56.949000000000005,112.69,520192,12,127,40159,0.3,1260,0.7880805730819702,296.0199890136719,0.0007429542,-0.00048163850406126587,0.00025,-0.3211078725755215,659.8487329483032,0.0
-51.261,112.4,524288,12,128,40537,0.3,1270,0.7875092029571533,276.2704162597656,0.0067617735,-0.0021113131573656575,0.00025,-0.32464332301169635,647.997403717041,0.00673828125
-45.63,113.97,528384,12,129,40921,0.3,1280,0.8001284003257751,350.507080078125,0.0010253007,-0.0003057004556467291,0.00025,-0.3340735914185643,728.9430473327636,0.0
-47.423,114.43,532480,12,130,41296,0.3,1290,0.8258841037750244,260.2054443359375,0.0057538114,-0.0012197731179185213,0.00025,-0.33548208326101303,624.1253433227539,0.0012939453125
-40.715,114.45,536576,12,131,41683,0.3,1300,0.7737855911254883,393.5258483886719,0.008439397,-0.005125785057316534,0.00025,-0.34158506989479065,937.151042175293,0.033740234375
-43.062,113.87,540672,12,132,42077,0.3,1310,0.7771239876747131,330.1107177734375,0.0044497005,-0.001359026334102964,0.00025,-0.3192235823720694,777.7010433197022,0.0
-51.400999999999996,113.37,544768,12,133,42486,0.3,1320,0.8310633301734924,252.06900024414062,0.0031131585,-0.0016861131240148096,0.00025,-0.327364519238472,525.1652875900269,0.008203125
-65.721,111.68,548864,12,134,42892,0.3,1330,0.8057974576950073,212.96023559570312,0.0028642074,-0.0009924714533553925,0.00025,-0.327678800560534,501.04006481170654,0.00146484375
-64.507,111.32,552960,12,135,43300,0.3,1340,0.8277727365493774,251.25344848632812,0.0053247795,-0.0022270351386396215,0.00025,-0.3233078675344586,523.5983184814453,0.0072021484375
-67.94900000000001,109.54,557056,12,136,43721,0.3,1350,0.7822325229644775,363.0020751953125,0.0030893548,-0.0008602496105595492,0.00025,-0.3175924986600876,700.5981946945191,0.001806640625
-70.962,109.99,561152,12,137,44127,0.3,1360,0.7879738211631775,311.786376953125,0.0045449752,-0.0015527641953667626,0.00025,-0.30974787194281816,605.2749158859253,0.005615234375
-71.896,112.19,565248,12,138,44534,0.3,1370,0.7892040014266968,297.7200012207031,0.004865111,-0.001670447407377651,0.00025,-0.32968665696680544,676.1191787719727,0.00390625
-68.41199999999999,112.31,569344,12,139,44966,0.3,1380,0.8316985368728638,242.34506225585938,0.009021163,-0.004332395542587619,0.00025,-0.3389657881110907,524.7123912811279,0.02587890625
-65.425,110.21,573440,12,140,45431,0.3,1390,0.8115730285644531,267.67425537109375,0.004180345,-0.0011060808137699496,0.00025,-0.3175211435183883,613.0125789642334,0.001123046875
-68.709,107.95,577536,12,141,45903,0.3,1400,0.8103244304656982,271.02520751953125,0.00454506,-0.002691840726765804,0.00025,-0.3028016101568937,566.8591297149658,0.0082275390625
-63.140999999999984,109.28,581632,12,142,46346,0.3,1410,0.8326706886291504,257.8570861816406,0.0027995268,-0.0004782948992215097,0.00025,-0.30536310439929365,503.300958442688,0.000390625
-57.59000000000001,110.83,585728,12,143,46800,0.3,1420,0.7791175842285156,211.7135467529297,0.00086902257,-0.0004015794249426108,0.00025,-0.32046051546931265,531.5340473175049,2.44140625e-05
-57.923,112.75,589824,12,144,47219,0.3,1430,0.8115322589874268,226.1464080810547,0.0068786303,-0.004138553334632889,0.00025,-0.3102163997478783,476.51336727142336,0.0227294921875
-58.284,112.86,593920,12,145,47668,0.3,1440,0.8209102153778076,269.83978271484375,0.004477202,-0.0017531826902995816,0.00025,-0.3235935717821121,544.2504234313965,0.0056396484375
-64.38,112.73,598016,12,146,48134,0.3,1450,0.7568620443344116,282.3140563964844,0.002623765,-0.0013353526170249096,0.00025,-0.3099179783836007,687.7195894241333,0.0044189453125
-69.399,112.5,602112,12,147,48609,0.3,1460,0.7873057723045349,272.1124267578125,0.007394527,-0.0015645832289010286,0.00025,-0.31309186667203903,598.3638143539429,0.00986328125
-64.63,114.09,606208,12,148,49107,0.3,1470,0.7822556495666504,272.8177185058594,0.004668484,-0.0020712087731226347,0.00025,-0.3276262706145644,541.9672012329102,0.0133544921875
-55.07000000000001,117.3,610304,12,149,49549,0.3,1480,0.7987067699432373,300.2064514160156,0.004240974,-0.0015251778895617463,0.00025,-0.30959250312298536,573.0341388702393,0.003125
-58.333,117.17,614400,12,150,49998,0.3,1490,0.7962043881416321,388.8169250488281,0.0038629347,-0.0006408213346730917,0.00025,-0.3279878543689847,837.1658988952637,0.0031005859375
