#{"t_start": 1744852308.4564278, "env_id": "None"}
r,l,t
-21.5,391,2284.885046
-20.5,386,2297.677315
-20.0,389,2301.411809
-22.0,404,2303.15227
-22.5,394,2307.282028
-22.0,395,2318.977521
-20.5,365,2322.732432
-21.0,387,2324.876724
-20.5,405,2329.270519
-20.5,388,2343.801011
-21.5,390,2346.970903
-22.0,384,2348.657257
-20.0,380,2352.324239
-20.0,373,2365.31879
-20.0,388,2369.744421
-21.5,393,2371.396766
-21.0,385,2374.984566
-47.5,398,2389.978207
-21.5,396,2393.445377
-21.5,370,2395.757575
-20.5,365,2399.457394
-20.0,387,2413.611942
-21.0,379,2415.704209
-20.5,379,2417.259879
-22.0,381,2419.090821
-48.5,409,2434.802562
-20.5,370,2435.517863
-20.0,384,2436.987806
-20.5,394,2438.995063
-21.0,369,2454.337138
-21.5,401,2456.297052
-20.5,374,2457.841034
-20.5,375,2460.950767
-20.5,372,2474.171754
-21.0,377,2475.795136
-21.0,391,2477.302403
-22.5,401,2480.286636
-20.5,389,2492.041412
-19.5,373,2494.194994
-20.0,388,2496.234094
-22.0,390,2499.203368
-20.5,378,2510.016064
-21.5,410,2512.162595
-21.0,388,2514.008274
-22.0,398,2517.396868
-20.5,378,2525.888114
-19.5,398,2526.329426
-21.5,377,2528.742568
-20.0,389,2532.618047
-21.5,386,2543.429368
-22.5,392,2543.882334
-20.5,407,2548.059243
-21.0,407,2552.403424
-20.0,381,2564.424102
-21.5,392,2565.718277
-22.0,385,2569.648768
-21.5,380,2573.927972
-20.5,375,2583.454109
-22.5,386,2583.90599
-21.5,388,2586.15289
-19.5,358,2588.378943
-21.0,389,2598.836232
-22.0,394,2599.143008
-20.5,388,2602.315692
-22.0,390,2604.56268
-21.0,384,2613.58786
-21.0,397,2615.155876
-20.0,399,2616.725352
-21.5,395,2619.854347
-22.5,396,2630.303184
-21.5,395,2631.93462
-21.5,380,2633.784793
-21.0,386,2636.019015
-20.5,394,2649.329683
-20.5,401,2651.434582
-20.0,390,2653.090299
-21.0,385,2654.85656
