time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates
290816,99,2908,392.24,71,-21.729999542236328,5e-05,-0.006392666856360544,0.00629171,0.9983909726142883,0.2,-0.7439506678531568,0.07215169270833334,-0.0016829799860715866,0.02701922646568467,1050
294912,99,2961,394.55,72,-21.575000762939453,5e-05,-0.007506403708248399,0.0059814285,0.9990469813346863,0.2,-0.7236654945959647,0.06507161458333334,-0.007040671072900295,0.02625836125613811,1065
299008,99,3015,396.55,73,-21.625,5e-05,-0.008291247122785231,0.0053455364,0.9986633062362671,0.2,-0.7101813538620869,0.061783854166666666,-0.01770634576678276,0.0252809809462633,1080
303104,98,3070,398.44,74,-22.4950008392334,5e-05,-0.004890075112537791,0.006517986,0.9992695450782776,0.2,-0.7241565455993016,0.06848958333333334,-0.008533913642168045,0.018946847271096582,1095
307200,98,3126,401.29,75,-23.045000076293945,5e-05,-0.004180209681605144,0.0068158233,0.9079540371894836,0.2,-0.7137036559482416,0.044140625,0.22689954936504364,0.4819644603296183,1110
311296,97,3184,402.87,76,-23.344999313354492,5e-05,-0.0032871858866807694,0.007227664,0.9745955467224121,0.2,-0.7420556260893743,0.046630859375,-0.009321024641394615,0.08833344776843054,1125
315392,97,3239,404.09,77,-23.614999771118164,5e-05,-0.003510125940980894,0.005375458,0.9756057262420654,0.2,-0.7593975136677424,0.06064453125,0.013290490955114365,0.19691898346257705,1140
319488,97,3291,405.57,78,-23.594999313354492,5e-05,-0.0030852156388088284,0.0054524597,0.9838703870773315,0.2,-0.750032655025522,0.051529947916666666,0.013112648390233517,0.12230202999004784,1155
323584,96,3347,406.36,79,-23.325000762939453,5e-05,-0.003925083499537626,0.005236454,0.9953370094299316,0.2,-0.7635420919706424,0.06354166666666666,-0.0007861508056521416,0.05788150530618926,1170
327680,96,3402,403.95,80,-23.645000457763672,5e-05,-0.005255898078030441,0.02130829,0.9900611639022827,0.2,-0.837812549372514,0.12708333333333333,-0.004093103110790253,0.0473439273579667,1185
331776,95,3456,400.26,81,-23.600000381469727,5e-05,-0.0031037180500182635,0.006960474,0.9653156995773315,0.2,-0.8493838306516409,0.051708984375,0.00017400458455085754,0.1613438942314436,1200
335872,95,3510,396.83,82,-23.53499984741211,5e-05,-0.0052148911427745285,0.007550734,0.9961363077163696,0.2,-0.8614804707467556,0.09104817708333333,-0.011607455089688301,0.06002536792851364,1215
339968,95,3569,393.67,83,-23.239999771118164,5e-05,-0.00751096711489178,0.005999989,0.9983871579170227,0.2,-0.853813594331344,0.077685546875,-0.005491355434060097,0.03689282871588754,1230
344064,94,3630,389.92,84,-22.5049991607666,5e-05,-0.007962817376149662,0.009580525,0.9987849593162537,0.2,-0.8347925239553055,0.081396484375,0.009354623034596443,0.028387079836102204,1245
348160,94,3682,388.05,85,-21.989999771118164,5e-05,-0.008150301317800767,0.00948368,0.9984686374664307,0.2,-0.8049030153701703,0.08310546875,-0.011957261711359024,0.0304996939880463,1260
352256,94,3740,386.08,86,-21.735000610351562,5e-05,-0.006898588885572584,0.007048,0.9982663989067078,0.2,-0.7803097292780876,0.064013671875,-0.00964115560054779,0.026550266148600107,1275
356352,93,3794,385.13,87,-21.709999084472656,5e-05,-0.006975278012881366,0.006088931,0.9990583658218384,0.2,-0.7710137687623501,0.07213541666666666,-0.03223738446831703,0.02253958435515718,1290
360448,93,3849,384.45,88,-21.735000610351562,5e-05,-0.006073112800853171,0.006501413,0.9986816644668579,0.2,-0.7709347267945608,0.07464192708333334,-0.011910369619727135,0.02913742762951491,1305
364544,93,3904,385.94,89,-21.385000228881836,5e-05,-0.004515207445365377,0.0059427777,0.9991199970245361,0.2,-0.7658586808790763,0.05657552083333333,-0.0024719173088669777,0.023845336514447504,1320
368640,92,3965,388.13,90,-21.885000228881836,5e-05,-0.006265517699163562,0.009177636,0.9990147352218628,0.2,-0.7696434821933508,0.07586263020833334,0.004748715087771416,0.025284081610152498,1335
372736,92,4028,388.95,91,-22.110000610351562,5e-05,-0.002925423000851879,0.0029823303,0.9436532258987427,0.2,-0.8023165371268988,0.033203125,0.0008151251822710037,0.22490191585966385,1350
376832,92,4086,390.6,92,-22.084999084472656,5e-05,-0.0039521980652352795,0.006754418,0.9800161123275757,0.2,-0.8208774444957574,0.060302734375,-0.0002442896366119385,0.07531030909740366,1365
380928,91,4148,391.52,93,-22.100000381469727,5e-05,-0.0062015442221309055,0.005470884,0.9935193061828613,0.2,-0.8001761975387732,0.06380208333333333,-0.008150514215230942,0.053041889242983115,1380
385024,91,4214,393.41,94,-22.260000228881836,5e-05,-0.0035614010116357046,0.005411832,0.99504154920578,0.2,-0.7626999116192261,0.05914713541666667,-0.02061307802796364,0.03680507717266058,1395
389120,90,4278,393.65,95,-22.145000457763672,5e-05,-0.004561813710218606,0.0070266062,0.990169882774353,0.2,-0.7634353448947271,0.060530598958333334,-0.016478419303894043,0.05938668560702354,1410
393216,90,4339,393.82,96,-22.094999313354492,5e-05,-0.006370858078298625,0.006200078,0.9988476037979126,0.2,-0.7493396963924169,0.0833984375,-0.01735336147248745,0.02964264963326665,1425
397312,90,4400,394.44,97,-22.0,5e-05,-0.008020528743509203,0.0054561496,0.9989214539527893,0.2,-0.7161776817093293,0.07643229166666667,-0.012287689372897148,0.024798775200421612,1440
401408,89,4466,394.46,98,-21.934999465942383,5e-05,-0.0038210776504759756,0.0046794293,0.9989991784095764,0.2,-0.6831587329506874,0.058024088541666664,-0.00947453361004591,0.0229889778032278,1455
405504,89,4523,394.0,99,-21.575000762939453,5e-05,-0.005149383434036281,0.009386605,0.9990773797035217,0.2,-0.6976249689857165,0.07571614583333333,-0.009332325309515,0.021667915664147587,1470
409600,89,4592,395.05,100,-21.264999389648438,5e-05,-0.007136958490445977,0.008154005,0.9992794394493103,0.2,-0.6652344820400079,0.078759765625,-0.019912563264369965,0.019285406413837337,1485
413696,88,4671,397.32,101,-20.889999389648438,5e-05,-0.005709301429063392,0.0058103004,0.9991052746772766,0.2,-0.6889146277060111,0.05677083333333333,-0.02647755667567253,0.019877663053921423,1500
417792,88,4728,398.1,102,-21.43000030517578,5e-05,-0.006995354445825797,0.0058878036,0.9993152022361755,0.2,-0.6453885380799572,0.07490234375,-0.0135389668866992,0.023368834622669966,1515
421888,88,4791,400.24,103,-21.155000686645508,5e-05,-0.0023385225865543663,0.0041081896,0.9208552241325378,0.2,-0.6403142141799132,0.037272135416666664,0.0014831088483333588,0.2913168538827449,1530
425984,87,4857,400.84,104,-21.1200008392334,5e-05,-0.005759106007705365,0.006151217,0.9930033683776855,0.2,-0.6299025421962142,0.06341145833333334,-0.0176206324249506,0.0440476577631974,1545
430080,87,4928,401.62,105,-21.184999465942383,5e-05,-0.0032114944381949804,0.012327781,0.9891808032989502,0.2,-0.6569738483056426,0.07872721354166666,-0.00020251981914043427,0.04932030860412245,1560
434176,86,5000,401.02,106,-21.165000915527344,5e-05,-0.005153106958702362,0.0053788135,0.9984108805656433,0.2,-0.6748754660288493,0.084619140625,-0.030605439096689224,0.030397324947019418,1575
438272,86,5062,401.06,107,-21.145000457763672,5e-05,-0.005436516009406963,0.0047250106,0.9980970621109009,0.2,-0.5951148019482692,0.05830078125,0.0061499327421188354,0.03024541094976788,1590
442368,86,5135,401.67,108,-21.145000457763672,5e-05,-0.006513016130581187,0.0076778214,0.9991698265075684,0.2,-0.6304830500856042,0.06599934895833333,0.002130689099431038,0.0168824819518098,1605
446464,85,5205,402.52,109,-21.229999542236328,5e-05,-0.0052599851284564165,0.005201629,0.9989796876907349,0.2,-0.5845649828513463,0.07102864583333333,-0.010807988233864307,0.022495496730941037,1620
450560,85,5280,403.15,110,-21.655000686645508,5e-05,-0.008458150553148394,0.011670433,0.9986019730567932,0.2,-0.5942535722628236,0.089208984375,-0.016863038763403893,0.02339244388761775,1635
