time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_fraction
4252,91,175.41,372736,87,49.88558578491211,0.30408185720443726,5e-05,-0.258125383593142,0.8645487323403358,1350,0.2,0.9936791062355042,0.0017055704,-0.0006268839992117137,0.025651041666666666
4314,92,174.17,376832,87,49.88682556152344,0.9511087536811829,5e-05,-0.258495282381773,3.65465024660031,1365,0.2,0.9335095286369324,0.0023678793,-0.001290710202253346,0.0306640625
4378,93,174.45,380928,87,49.88655090332031,0.3982413113117218,5e-05,-0.2598813867817322,0.8973605214307706,1380,0.2,0.9908372163772583,0.0023533658,-2.017411704097564e-05,0.0390625
4441,94,174.42,385024,86,49.88658142089844,0.5305058360099792,5e-05,-0.24576122636596362,0.7888256701330344,1395,0.2,0.9926863312721252,0.0028577368,-0.0016630231524080348,0.034928385416666666
4507,95,175.33,389120,86,49.88567352294922,0.23979996144771576,5e-05,-0.242134250048548,0.8338041952500741,1410,0.2,0.9937302470207214,0.0065157553,-0.0008565520872555984,0.04918619791666667
4572,96,176.14,393216,85,49.824859619140625,0.3354007601737976,5e-05,-0.257268609944731,0.6902321480835477,1425,0.2,0.993826150894165,0.004395714,-0.000894781075961267,0.047037760416666664
4632,97,173.88,397312,85,49.827117919921875,0.2591158151626587,5e-05,-0.23750381891926128,0.6330330020437638,1440,0.2,0.9953155517578125,0.0022473754,-0.0009824855321009334,0.046061197916666664
4701,98,175.05,401408,85,49.80595397949219,0.6351562142372131,5e-05,-0.21800888236612082,1.175295398881038,1455,0.2,0.9858510494232178,0.0021388468,-0.00035028987476835025,0.028971354166666668
4766,99,173.69,405504,85,49.807308197021484,0.3261246085166931,5e-05,-0.20249831679587563,0.673978092893958,1470,0.2,0.9937830567359924,0.004713512,0.0013427787635009736,0.04537760416666667
4832,100,171.12,409600,84,48.789878845214844,0.2836746573448181,5e-05,-0.1797642471579214,0.6443378184611599,1485,0.2,0.9946998357772827,0.003894996,-0.0018991642910502074,0.032080078125
4898,101,170.64,413696,84,48.79035949707031,6.834203243255615,5e-05,-0.17767739202827215,5.455842938149969,1500,0.2,0.8848283290863037,0.0015124044,-0.0018419493513647466,0.01962890625
4959,102,168.6,417792,84,48.812408447265625,0.24426941573619843,5e-05,-0.1623426910645018,0.6452543692042431,1515,0.2,0.9933302998542786,0.0021448252,-0.0002857439673486321,0.032470703125
5029,103,168.26,421888,83,47.83274459838867,1.0643771886825562,5e-05,-0.16635568461691339,0.9664404049515725,1530,0.2,0.9927861094474792,0.008200424,-0.0008626468100070876,0.027425130208333332
5100,104,167.14,425984,83,47.833866119384766,0.7923499345779419,5e-05,-0.1656388591664533,4.823030396302541,1545,0.2,0.9109442830085754,0.000979949,-0.0003946040931623429,0.019449869791666668
5169,105,167.38,430080,83,47.8336181640625,1.3920961618423462,5e-05,-0.16783992550335824,10.899286445975303,1560,0.2,0.8879770040512085,0.00088219624,-0.00042840491344880625,0.004443359375
5237,106,166.82,434176,82,46.814178466796875,0.3329460620880127,5e-05,-0.17608385089163978,1.2743273071944714,1575,0.2,0.987475574016571,0.0029457677,0.00030410426431141485,0.026155598958333335
5312,107,166.19,438272,82,47.79481506347656,1.2838554382324219,5e-05,-0.16633010955216984,6.75225848890841,1590,0.2,0.9013298749923706,0.0059708487,0.0010258333117235453,0.045703125
5381,108,167.46,442368,82,48.813541412353516,0.37447378039360046,5e-05,-0.16539404859455922,1.1976463643213113,1605,0.2,0.9833597540855408,0.003057204,-3.6468969725926095e-05,0.03331705729166667
5455,109,166.42,446464,81,48.8145751953125,0.24524341523647308,5e-05,-0.17638561297208072,0.8687661457185943,1620,0.2,0.9920305013656616,0.0037777908,0.001568887116930758,0.04278971354166667
5528,110,167.87,450560,81,48.81312942504883,0.27661192417144775,5e-05,-0.15858315957399707,0.813743916215996,1635,0.2,0.9933570623397827,0.0026324294,-0.0012832549657711449,0.03601888020833333
5601,111,167.81,454656,81,48.813194274902344,2.174717664718628,5e-05,-0.16860506711527706,3.8506108949581783,1650,0.2,0.9109623432159424,0.00094831566,-0.000835171226450863,0.023323567708333333
5682,112,170.39,458752,80,48.810611724853516,0.21625719964504242,5e-05,-0.18210435739407937,0.7658943545694152,1665,0.2,0.9795445203781128,0.00977697,-0.002353397255744009,0.04423828125
5758,113,172.75,462848,80,48.808250427246094,0.31910455226898193,5e-05,-0.23086318721373875,0.7753727855160832,1680,0.2,0.9913140535354614,0.0019169487,-0.0029167452710680665,0.03382161458333333
5833,114,174.89,466944,80,48.80610656738281,0.2508068084716797,5e-05,-0.21422689212486148,0.769936182598273,1695,0.2,0.9922124147415161,0.004060285,-0.00254918700181103,0.037109375
5903,115,174.42,471040,79,48.806575775146484,0.4605826139450073,5e-05,-0.21481780881683032,2.5168845515698193,1710,0.2,0.9245889782905579,0.0047008973,-0.0026976374167134052,0.048909505208333336
