#{"t_start": 1744830877.801953, "env_id": "None"}
r,l,t
49.758,243,1336.091871
-48.791,292,1339.360859
-23.817,318,1341.604333
-48.263,264,1341.722535
49.715,286,1345.538551
45.733,268,1348.395583
-48.301,302,1348.855195
-48.795,296,1350.628909
47.752,249,1355.235577
47.722,279,1359.358923
-46.283,284,1360.355471
-48.809,310,1360.70976
51.72,281,1366.863571
49.77,231,1369.869104
51.76,241,1371.483819
49.733,268,1371.676764
-56.277,278,1376.587996
49.732,269,1379.515532
49.711,290,1381.213145
47.73,271,1381.836947
59.685,316,1386.292594
-23.28,281,1388.707494
-48.246002,247,1388.885832
49.727,274,1389.329461
45.72,281,1398.5059
49.757,244,1398.671326
-48.278,279,1398.811976
-23.274,275,1401.994822
49.741,260,1410.008189
49.704,297,1411.642938
53.675,326,1412.065121
49.733,268,1412.212226
49.715,286,1421.896657
-52.326,327,1423.470081
49.709,292,1423.649132
-23.810999,312,1425.818453
-48.268,269,1429.928982
49.706,295,1432.738689
-52.281,282,1433.094515
49.693,308,1435.218761
51.741,260,1440.802228
51.724,277,1445.909346
-48.301,302,1446.096949
-23.296,297,1447.494097
-22.782999,284,1453.432413
-52.288,289,1457.92592
-48.262,263,1458.063288
55.712,289,1459.24329
49.752,249,1461.990049
49.773,228,1465.205818
49.723,278,1467.83918
51.722,279,1470.348446
-48.288,289,1472.907771
49.711,290,1476.112923
-23.294,295,1480.269375
-23.776,277,1484.806956
47.715,286,1488.834903
-52.266,267,1490.63657
-48.225,226,1490.773247
-22.303,304,1497.338689
49.752,249,1497.530493
49.722,279,1502.703418
-44.288,289,1503.276717
49.73,271,1507.939069
-48.243,244,1508.091302
45.759,242,1512.479018
49.715,286,1512.718956
49.751,250,1516.333002
-52.275,276,1517.137038
-44.254,255,1520.14522
49.744,257,1523.41891
51.707,294,1528.677948
49.734,267,1528.82738
53.771,230,1530.551542
-23.782999,284,1535.394578
-48.253002,254,1540.156979
-23.775,276,1541.520062
53.753998,247,1541.697064
49.775,226,1546.294822
-23.759,260,1552.646088
-48.239,240,1552.792901
-48.254,255,1552.98771
-48.291,292,1558.263878
49.758,243,1562.558254
-56.263,264,1562.741859
-48.783,284,1564.520965
-23.759,260,1570.315742
49.742,259,1573.270933
49.73,271,1575.287082
49.75,251,1575.517278
49.727,274,1582.712996
-52.222,223,1584.410054
49.75,251,1586.347926
49.751,250,1587.874555
