time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
239616,628.52,15937.15,126,1897,117,1160,0.2,0.0003,0.026318359375,58622.23046875,101617.4664428711,0.0,-0.7640932068228722,-0.0053561803659249565,0.0036688321
241664,634.75,16053.19,125,1925,118,1170,0.2,0.0003,0.02900390625,34356.68359375,79237.74926757812,0.0,-0.752599373832345,-0.006039168775896542,0.0036404585
243712,638.58,16131.88,125,1945,119,1180,0.2,0.0003,0.008544921875,36232.03125,80886.70899658203,0.0,-0.7735979732125997,-0.004712305344583001,0.0027595737
245760,637.66,16083.34,124,1966,120,1190,0.2,0.0003,0.026171875,39737.046875,79906.33165283203,1.1920928955078125e-07,-0.7825336275622249,-0.007077915729314555,0.0027523988
247808,640.94,16156.48,124,1986,121,1200,0.2,0.0003,0.047802734375,39679.7578125,85678.36494140625,1.1920928955078125e-07,-0.7645769044756889,-0.00705279022877221,0.0045813425
249856,644.71,16195.54,123,2022,122,1210,0.2,0.0003,0.031005859375,28442.71875,65500.41180419922,0.0,-0.8072988204658031,-0.005031886325741653,0.004155036
251904,644.57,16208.89,122,2057,123,1220,0.2,0.0003,0.04658203125,26118.732421875,52861.47521972656,5.960464477539063e-08,-0.7971792059019208,-0.005473931760207051,0.005636854
253952,643.75,16177.14,121,2085,124,1230,0.2,0.0003,0.01865234375,59639.73828125,108229.61005859375,0.0,-0.6977443050593137,-0.0044658967373834456,0.0033874651
256000,641.32,16115.87,121,2099,125,1240,0.2,0.0003,0.0216796875,28627.763671875,67707.89210205078,5.960464477539063e-08,-0.81168606095016,-0.004086413423647173,0.00402883
258048,643.31,16223.46,121,2120,126,1250,0.2,0.0003,0.019287109375,25286.24609375,59904.89609375,0.0,-0.7696595661342144,-0.004517911686707521,0.0028806713
260096,642.46,16180.95,121,2148,127,1260,0.2,0.0003,0.018359375,43495.6796875,82118.185546875,0.0,-0.779786359705031,-0.005247884920390788,0.0037851902
262144,644.29,16209.38,120,2177,128,1270,0.2,0.0003,0.021484375,33840.2421875,72097.93098144532,0.0,-0.7757177095860243,-0.005423900917230639,0.004005174
264192,640.8,16027.17,120,2198,129,1280,0.2,0.0003,0.0408203125,31101.908203125,64675.043774414065,-1.1920928955078125e-07,-0.8097245432436466,-0.0051548281902796585,0.004774092
266240,640.54,15987.55,119,2220,130,1290,0.2,0.0003,0.01962890625,32677.099609375,50812.950439453125,0.0,-0.7685365887358785,-0.006170065690093906,0.0027239558
268288,643.91,16023.06,119,2248,131,1300,0.2,0.0003,0.044677734375,31274.48828125,66122.48150634766,-1.1920928955078125e-07,-0.8158816626295448,-0.006044644876237726,0.005178357
270336,642.87,15904.85,118,2277,132,1310,0.2,0.0003,0.018212890625,29534.767578125,52793.13271484375,0.0,-0.8015591215342284,-0.004293518631675397,0.0031597277
272384,646.89,15942.82,118,2307,133,1320,0.2,0.0003,0.025537109375,36232.82421875,80800.91677246094,0.0,-0.7737385945394635,-0.009817796733113938,0.003198336
274432,648.38,15838.18,117,2336,134,1330,0.2,0.0003,0.024609375,25708.98828125,57302.87890625,0.0,-0.8101581463590264,-0.006554117238556501,0.0052179173
276480,651.07,15902.53,116,2375,135,1340,0.2,0.0003,0.0326171875,23534.818359375,53872.205529785155,5.960464477539063e-08,-0.7981567211449146,-0.007111606971011497,0.0039065564
278528,659.75,16114.92,115,2413,136,1350,0.2,0.0003,0.042333984375,45123.69140625,99822.38381347657,0.0,-0.7620995795354247,-0.007290893933532061,0.004713531
280576,665.49,16232.75,114,2452,137,1360,0.2,0.0003,0.0099609375,61707.37890625,105103.81943359374,-1.1920928955078125e-07,-0.7759021606296301,-0.0030036967793421352,0.0027144705
282624,666.85,16180.53,113,2490,138,1370,0.2,0.0003,0.017236328125,29475.953125,81171.54781494141,0.0,-0.8339369500055909,-0.004818573690135964,0.004080423
284672,671.28,16295.29,112,2520,139,1380,0.2,0.0003,0.01845703125,35516.91015625,80249.11108398438,0.0,-0.8325914813205599,-0.0061280789928787275,0.0031911735
286720,673.91,16275.04,111,2560,140,1390,0.2,0.0003,0.028076171875,47306.9296875,92471.01721191406,5.960464477539063e-08,-0.8408962834626437,-0.0071496856697194746,0.0042445315
288768,674.98,16260.24,111,2589,141,1400,0.2,0.0003,0.013623046875,47047.77734375,94735.04528808594,0.0,-0.8960399575531482,-0.005381658650003373,0.0028956626
290816,673.49,16199.77,110,2620,142,1410,0.2,0.0003,0.0216796875,35828.03125,74218.4328857422,1.1920928955078125e-07,-0.8978913955390453,-0.005170116189401597,0.0045280703
292864,681.15,16395.21,110,2651,143,1420,0.2,0.0003,0.027978515625,55548.86328125,107952.72869873047,-1.1920928955078125e-07,-0.8309528676792979,-0.0075876625691307705,0.0037151065
294912,681.33,16367.68,109,2690,144,1430,0.2,0.0003,0.05419921875,29687.302734375,72277.62703857422,1.1920928955078125e-07,-0.8714188041165472,-0.008512345209601336,0.008313013
296960,684.21,16430.53,109,2721,145,1440,0.2,0.0003,0.02265625,36569.74609375,64184.530078125,-1.1920928955078125e-07,-0.8782509485259652,-0.0037285074300598352,0.0038804477
299008,686.99,16560.18,108,2761,146,1450,0.2,0.0003,0.022265625,38409.0625,76273.01947021484,0.0,-0.8410360848531127,-0.007806670295394724,0.0030203375
301056,688.69,16565.09,107,2802,147,1460,0.2,0.0003,0.062109375,58941.01953125,125981.6237548828,1.1920928955078125e-07,-0.8541383549571038,-0.009656562774034682,0.0066416897
303104,688.69,16505.19,106,2833,148,1470,0.2,0.0003,0.02763671875,32100.431640625,64418.94464111328,0.0,-0.8382073488086462,-0.003785788374807453,0.0031349508
305152,688.34,16459.96,106,2856,149,1480,0.2,0.0003,0.0353515625,34031.59765625,66557.52667236328,0.0,-0.8160450940951705,-0.004569480021018535,0.003992709
